input_file:  ../data/quantile_df.csv
Getting score for:  clim_RSM_albers 0.3610969848850153 34
Getting score for:  be-30y-85m-avg-ND-SWIR1-SWIR2.filled.lzw.nodata 0.3743444638464854 34
Getting score for:  3dem_mag0.fin 0.3731422438109866 34
Getting score for:  Rad2016K_Th 0.3504811101632418 34
Getting score for:  clim_PTA_albers 0.3818523893577036 34
Getting score for:  water-85m 0.3421519921924286 34
Getting score for:  ceno_euc_aust1 0.354526543653397 34
Getting score for:  3dem_mag2 0.3761534727766305 34
Getting score for:  Thorium_2016 0.3729519656246935 34
Getting score for:  mrvbf_9 0.34232124343227444 34
Getting score for:  clim_WDA_albers 0.36203071883972665 34
Getting score for:  national_Wii_RF_multirandomforest_prediction 0.39081798242957894 34
Getting score for:  be-30y-85m-avg-ND-NIR-GREEN.filled.lzw.nodata 0.37844273769439574 34
Getting score for:  be-30y-85m-avg-RED.filled.lzw.nodata 0.312090389638713 34
Getting score for:  s2-dpca-85m 0.37184455976903563 34
Getting score for:  be-30y-85m-avg-GREEN.filled.lzw.nodata 0.3800094287528822 34
Getting score for:  be-30y-85m-avg-ND-RED-BLUE.filled.lzw.nodata 0.3647903445394051 34
Getting score for:  LATITUDE_GRID1_clip 0.3791026925071013 34
Getting score for:  relief_mrvbf_3s_mosaic 0.37492720184182565 34
Getting score for:  Dose_2016 0.39826342153429595 34
Getting score for:  saga_wetSM_85_resampled 0.3760889085645175 34
Getting score for:  be-30y-85m-avg-SWIR1.filled.lzw.nodata 0.36852630357231647 34
Getting score for:  be-30y-85m-avg_BLUE+SWIR2 0.3734649169416525 34
Results of  8  iteration: 0.30068899846619845 slope_fill2
Staring experiment for:  34
Getting score for:  relief_elev_focalrange300m_3s 0.35395766326716305 33
Getting score for:  Potassium_2016 0.38816738102298803 33
Getting score for:  Clim_Prescott_LindaGregory 0.35166035732284817 33
Getting score for:  be-30y-85m-avg-ND-SWIR1-NIR.filled.lzw.nodata 0.3554465008757738 33
Getting score for:  be-l8-all-85m-avg-NIR.filled.lzw.nodata 0.3622883192466616 33
Getting score for:  be-l8-all-85m-avg-BLUE.filled.lzw.nodata 0.3933966106000656 33
Getting score for:  clim_EPA_albers 0.3507554709687065 33
Getting score for:  relief_elev_focalrange1000m_3s 0.3910169748786284 33
Getting score for:  Rad2016U_Th 0.35733725561292234 33
Getting score for:  be-30y-85m-avg-SWIR2.filled.lzw.nodata 0.3490486694171224 33
Getting score for:  tpi_300 0.39381378880038664 33
Getting score for:  clim_RSM_albers 0.37879991591077466 33
Getting score for:  be-30y-85m-avg-ND-SWIR1-SWIR2.filled.lzw.nodata 0.369088500822861 33
Getting score for:  3dem_mag0.fin 0.3809498808742 33
Getting score for:  Rad2016K_Th 0.35155663267397536 33
Getting score for:  clim_PTA_albers 0.379667741006442 33
Getting score for:  water-85m 0.38108967962111107 33
Getting score for:  ceno_euc_aust1 0.37077114706776176 33
Getting score for:  3dem_mag2 0.3558491639995776 33
Getting score for:  Thorium_2016 0.35967006907941784 33
Getting score for:  mrvbf_9 0.32239197670835645 33
Getting score for:  clim_WDA_albers 0.3625253462051604 33
Getting score for:  national_Wii_RF_multirandomforest_prediction 0.3854861638485686 33
Getting score for:  be-30y-85m-avg-ND-NIR-GREEN.filled.lzw.nodata 0.387924019652645 33
Getting score for:  be-30y-85m-avg-RED.filled.lzw.nodata 0.34578575766478414 33
Getting score for:  s2-dpca-85m 0.37197526042695833 33
Getting score for:  be-30y-85m-avg-GREEN.filled.lzw.nodata 0.36300138758775335 33
Getting score for:  be-30y-85m-avg-ND-RED-BLUE.filled.lzw.nodata 0.3728335696990634 33
Getting score for:  LATITUDE_GRID1_clip 0.3908433611690345 33
Getting score for:  relief_mrvbf_3s_mosaic 0.3618278585894736 33
Getting score for:  Dose_2016 0.3891051098865449 33
Getting score for:  saga_wetSM_85_resampled 0.3750980036092837 33
Getting score for:  be-30y-85m-avg-SWIR1.filled.lzw.nodata 0.36629433234487674 33
Getting score for:  be-30y-85m-avg_BLUE+SWIR2 0.36368945388330753 33
Results of  9  iteration: 0.32239197670835645 mrvbf_9
Staring experiment for:  33
Getting score for:  relief_elev_focalrange300m_3s 0.33267054025127046 32
Getting score for:  Potassium_2016 0.38911501908916657 32
Getting score for:  Clim_Prescott_LindaGregory 0.36234250307287763 32
Getting score for:  be-30y-85m-avg-ND-SWIR1-NIR.filled.lzw.nodata 0.36091417211137894 32
Getting score for:  be-l8-all-85m-avg-NIR.filled.lzw.nodata 0.3171870351302931 32
Getting score for:  be-l8-all-85m-avg-BLUE.filled.lzw.nodata 0.37580120693300434 32
Getting score for:  clim_EPA_albers 0.4082197057027466 32
Getting score for:  relief_elev_focalrange1000m_3s 0.3653272999896715 32
Getting score for:  Rad2016U_Th 0.3498247425571827 32
Getting score for:  be-30y-85m-avg-SWIR2.filled.lzw.nodata 0.3638627508438175 32
Getting score for:  tpi_300 0.36797273308073375 32
Getting score for:  clim_RSM_albers 0.3572023994982291 32
Getting score for:  be-30y-85m-avg-ND-SWIR1-SWIR2.filled.lzw.nodata 0.3168221226911388 32
Getting score for:  3dem_mag0.fin 0.3695091822550326 32
Getting score for:  Rad2016K_Th 0.39147765285066927 32
Getting score for:  clim_PTA_albers 0.4072903689301168 32
Getting score for:  water-85m 0.3549297170085401 32
Getting score for:  ceno_euc_aust1 0.3565688622709785 32
Getting score for:  3dem_mag2 0.39570528209564815 32
Getting score for:  Thorium_2016 0.37744280758979 32
Getting score for:  clim_WDA_albers 0.34025582634042106 32
Getting score for:  national_Wii_RF_multirandomforest_prediction 0.365602280317841 32
Getting score for:  be-30y-85m-avg-ND-NIR-GREEN.filled.lzw.nodata 0.36176143745564726 32
Getting score for:  be-30y-85m-avg-RED.filled.lzw.nodata 0.3574023443154867 32
